hostA.local 192.168.0.1
hostB.local 192.168.0.2
hostC.local 192.168.0.3
hostD.local 192.168.0.4
hostE.local 192.168.0.5
hostF.local 192.168.0.6
hostG.local 192.168.0.7
hostH.local 192.168.0.8
hostI.local 192.168.0.9
hostJ.local 192.168.0.10
hostK.local 192.168.0.11
hostL.local 192.168.0.12
hostM.local 192.168.0.13
hostN.local 192.168.0.14
hostO.local 192.168.0.15
hostP.local 192.168.0.16
hostQ.local 192.168.0.17
hostR.local 192.168.0.18
Bob 111.111.111
TESTE 123.123.123.123
TESTE1 123.123.123.124
TESTE2 123.123.123.125
TESTE3 123.123.123.126
